algoritmo,num_onus,carga_embb,rep,loss_embb,loss_urllc,loss_mmtc,lat_avg_embb,lat_avg_urllc,lat_avg_mmtc,lat_p99_urllc,throughput_total,jitter_urllc
QosDBA,32,50,1,0.08071683607892641,0.0,0.0,,,,,20.853647120370372,
QosDBA,32,50,1,0.08024057213670818,0.0,0.0,,,,,20.85218231481482,
QosDBA,32,50,1,0.08010950380452236,0.0,0.0,,,,,20.853747398148148,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.527759268518519,
QosDBA,32,100,1,0.5387614260042337,0.0,0.0,,,,,20.854820898148148,
QosDBA,32,100,1,0.5392196646401831,0.0,0.0,,,,,20.85363441666667,
QosDBA,32,100,1,0.5390788756326366,0.0,0.0,,,,,20.85445775925926,
QosDBA,32,100,1,0.5387339730374706,0.0,0.0,,,,,20.856292296296296,
QosDBA,32,100,1,0.5384978304656893,0.0,0.0,,,,,20.853720101851852,
QosDBA,32,100,1,0.5387545556923226,0.0,0.0,,,,,20.85480285185185,
QosDBA,32,100,1,0.5391695813153878,0.0,0.0,,,,,20.857426435185182,
QosDBA,32,100,1,0.5387577872701803,0.0,0.0,,,,,20.85495225,
QosDBA,32,100,1,0.5379012359535038,0.0,0.0,,,,,20.857432101851852,
QosDBA,32,100,1,0.5391138516486125,0.0,0.0,,,,,20.858200046296293,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.584044287037038,
QosDBA,32,150,1,0.6924287349228253,0.0,0.0,,,,,20.85629638888889,
QosDBA,32,150,1,0.6926108472102793,0.0,0.0,,,,,20.857241657407407,
QosDBA,32,150,1,0.6925155282822762,0.0,0.0,,,,,20.85905071296296,
QosDBA,32,150,1,0.6921936708309393,0.0,0.0,,,,,20.85424764814815,
QosDBA,32,150,1,0.6921491389627534,0.0,0.0,,,,,20.85805839814815,
QosDBA,32,150,1,0.6923176090122494,0.0,0.0,,,,,20.854306037037038,
QosDBA,32,150,1,0.692480473861981,0.0,0.0,,,,,20.857975740740738,
QosDBA,32,150,1,0.6920894023264703,0.0,0.0,,,,,20.856774592592593,
QosDBA,32,150,1,0.6921241044916872,0.0,0.0,,,,,20.85748500925926,
